Index,Size_mw,Size_ha,Year,Sampling_date,Plot_ID,Treatment,Sample_ID,Lat,Long,Accuracy,Soil_temp,Plant_cover,Grasses,Rushes,Forbs,Ferns,Soil_fresh_mass,Soil_dry_mass,Soil_moisture,Soil_sample_volume,Soil_bulk_density,Soil_pH,Soil_ammonium,Soil_nitrate,AGB_grasses,AGB_forbs,AGB_rushes,Total_AGB,Site_info,AnonymSite,AnonymCompany,AnonymLocation,AnonymCounty,AnonymPostCode
10,5.0,Nil,2017,29/07/2021,ND131C,Control,131,50.327233,-4.033233,3,19.6,100,30,0,70,0,222.96,178.16,0.251459362,196.35,0.907359307,7.16,9.62,111.87,16.96,7.1,Nil,24.06,Nil,SiteA,CompanyA,LocationA,CountyA,PostcodeA
11,5.0,Nil,2017,29/07/2021,ND132C,Control,132,50.327483,-4.032533,3,19.5,100,30,0,70,0,272.17,229.26,0.187167408,196.35,1.167608862,7.1,2.92,126.42,18.66,13.85,0.19,32.7,Nil,SiteA,CompanyA,LocationA,CountyA,PostcodeA
12,14.6,45.2,2015,25/08/2021,VW241U,Under,241,50.866966999999995,-1.890883,3,15.2,90,100,0,0,0,239.48,204.22,0.17265693899999998,196.35,1.0400814870000001,7.8,13.89,44.5,12.83,Nil,Nil,12.83,"Deer_seen_on_site;_abundant_Urtica_under_panels_in_places,_especially_in_field_1;_control_samples_collected_from_adjacent_land_outside_the_fenced_area_(pastureland?);_PVC_corer_used",SiteC,CompanyB,LocationB,CountyB,PostcodeB
13,14.6,45.2,2015,25/08/2021,VW242U,Under,242,50.867067,-1.8835330000000001,3,15.2,50,100,0,0,0,238.94,212.55,0.124159021,196.35,1.08250573,7.41,8.48,45.78,7.51,Nil,Nil,7.51,Nil,SiteC,CompanyB,LocationB,CountyB,PostcodeB
14,14.6,45.2,2015,25/08/2021,VW243U,Under,243,50.865283000000005,-1.887517,3,15.4,90,100,0,0,0,226.43,181.62,0.24672392899999998,196.35,0.924980901,7.46,14.58,55.47,5.38,Nil,Nil,5.38,Nil,SiteC,CompanyB,LocationB,CountyB,PostcodeB
15,14.6,45.2,2015,25/08/2021,VW244U,Under,244,50.863233,-1.881217,3,15.3,100,100,0,0,0,278.83,211.89,0.315918637,196.35,1.079144385,7.59,10.41,55.33,11.68,Nil,Nil,11.68,Nil,SiteC,CompanyB,LocationB,CountyB,PostcodeB
16,14.6,45.2,2015,25/08/2021,VW245B,Between,245,50.865567,-1.889317,3,16.3,70,30,0,70,0,279.59,197.95,0.41242738100000004,196.35,1.008148714,6.85,16.48,48.09,7.75,2.36,Nil,10.11,Nil,SiteC,CompanyB,LocationB,CountyB,PostcodeB
17,14.6,45.2,2015,25/08/2021,VW246B,Between,246,50.866983000000005,-1.8858669999999997,3,16.1,100,100,0,0,0,239.13,205.61,0.16302709,196.35,1.0471606820000001,7.45,3.86,17.6,27.33,Nil,Nil,27.33,Nil,SiteC,CompanyB,LocationB,CountyB,PostcodeB
18,14.6,45.2,2015,25/08/2021,VW247B,Between,247,50.864233,-1.8838830000000002,3,16.8,90,5,0,95,0,210.6,142.73,0.47551320700000005,196.35,0.726916221,6.23,3.59,117.85,4.8,3.87,Nil,8.67,Nil,SiteC,CompanyB,LocationB,CountyB,PostcodeB
19,14.6,45.2,2015,25/08/2021,VW248B,Between,248,50.86365,-1.8788169999999997,3,16.1,90,40,0,60,0,217.51,177.33,0.226583206,196.35,0.903132162,6.87,2.47,34.0,15.07,2.07,Nil,17.14,Nil,SiteC,CompanyB,LocationB,CountyB,PostcodeB
20,14.6,45.2,2015,25/08/2021,VW249C,Control,249,50.866367,-1.8791330000000002,3,19.3,80,20,0,80,0,174.51,153.56,0.13642875699999998,196.35,0.7820728290000001,6.83,2.08,15.57,13.82,10.13,Nil,23.95,Nil,SiteC,CompanyB,LocationB,CountyB,PostcodeB
21,14.6,45.2,2015,25/08/2021,VW250C,Control,250,50.865066999999996,-1.8788,3,18.7,100,50,0,50,0,174.44,154.46,0.129353878,196.35,0.786656481,6.45,11.71,66.63,14.2,Nil,Nil,14.2,Nil,SiteC,CompanyB,LocationB,CountyB,PostcodeB
22,14.6,45.2,2015,25/08/2021,VW251C,Control,251,50.86235,-1.8748669999999998,3,19.3,100,70,0,30,0,238.54,201.1,0.186176032,196.35,1.024191495,7.25,7.2,7.01,11.67,2.09,Nil,13.76,Nil,SiteC,CompanyB,LocationB,CountyB,PostcodeB
23,14.6,45.2,2015,25/08/2021,VW252C,Control,252,50.8634,-1.8752669999999998,3,20.7,60,100,0,0,0,231.76,215.02,0.077853223,196.35,1.095085307,6.92,2.85,11.27,20.16,0.1,Nil,20.26,Nil,SiteC,CompanyB,LocationB,CountyB,PostcodeB
