sitevalue,date,obsValue,polarity,subjectivity,honeyhives,sheep
SiteK,27/09/2021,"Grass not cut recently (engineer says grass is cut twice per year), very few flowering plants anywhere on site (between rows or in margin areas)",-1.30E-01,1.90E-01,No,No
SiteL,26/07/2021,"Two biodiversity areas on site (front near entrance and back right of first field) that appeared to be seeded and had insect hotels, climbing species planted for screening",1.60E-01,3.20E-01,No,No
SiteL,26/07/2021,"Two biodiversity areas on site (front near entrance and back right of first field) that appeared to be seeded and had insect hotels, climbing species planted for screening",1.60E-01,3.20E-01,No,No
SiteL,26/07/2021,"Vegetation similar to previous visits, still some flowering plant species between rows despite it being September - also areas not between rows that were rich, close to substations",7.00E-02,4.40E-01,No,No
SiteL,25/08/2021,"Two biodiversity areas on site (front near entrance and back right of first field) that appeared to be seeded and had insect hotels, climbing species planted for screening",1.60E-01,3.20E-01,No,No
SiteL,25/08/2021,"Two biodiversity areas on site (front near entrance and back right of first field) that appeared to be seeded and had insect hotels, climbing species planted for screening",1.60E-01,3.20E-01,No,No
SiteL,25/08/2021,"Vegetation similar to previous visits, still some flowering plant species between rows despite it being September - also areas not between rows that were rich, close to substations",7.00E-02,4.40E-01,No,No
SiteL,24/09/2021,"Two biodiversity areas on site (front near entrance and back right of first field) that appeared to be seeded and had insect hotels, climbing species planted for screening",1.60E-01,3.20E-01,No,No
SiteL,24/09/2021,"Two biodiversity areas on site (front near entrance and back right of first field) that appeared to be seeded and had insect hotels, climbing species planted for screening",1.60E-01,3.20E-01,No,No
SiteL,24/09/2021,"Vegetation similar to previous visits, still some flowering plant species between rows despite it being September - also areas not between rows that were rich, close to substations",7.00E-02,4.40E-01,No,No
